# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 21 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
1.3250000000000000e+01  3.1225050604608304e+00  -1.8888363060721838e+00  4.3761876739989262e-02
1.3375000000000000e+01  3.1893372839188014e+00  -1.8335251164235706e+00  4.3599925377407665e-02
1.3500000000000002e+01  3.2547244225137844e+00  -1.7796162444433210e+00  4.3414272211910854e-02
1.3625000000000000e+01  3.3186696828367817e+00  -1.7271065206523604e+00  4.3206737299696735e-02
1.3750000000000000e+01  3.3811774018765268e+00  -1.6759916967557515e+00  4.2979114723397709e-02
1.3875000000000000e+01  3.4422528586364320e+00  -1.6262666311938592e+00  4.2733167332634124e-02
1.4000000000000002e+01  3.5019021566846380e+00  -1.5779254039947279e+00  4.2470622947746645e-02
1.4124999999999998e+01  3.5601320266703054e+00  -1.5309615105051897e+00  4.2193168547566426e-02
1.4250000000000000e+01  3.6169497136290394e+00  -1.4853679709001351e+00  4.1902447396849896e-02
1.4375000000000000e+01  3.6723629236248740e+00  -1.4411373807044821e+00  4.1600057206389103e-02
1.4500000000000000e+01  3.7263797864947010e+00  -1.3982619451787062e+00  4.1287548257639535e-02
1.4625000000000002e+01  3.7790086571135726e+00  -1.3567336735958859e+00  4.0966420102398066e-02
1.4750000000000000e+01  3.8302582569558163e+00  -1.3165442363041433e+00  4.0638122686351259e-02
1.4875000000000000e+01  3.8801375750567271e+00  -1.2776850601057692e+00  4.0304054428175425e-02
1.5000000000000000e+01  3.9286558555992368e+00  -1.2401473378138475e+00  3.9965561786603002e-02
1.5125000000000002e+01  3.9758226330433049e+00  -1.2039219906913279e+00  3.9623939188243432e-02
1.5249999999999998e+01  4.0216477755570477e+00  -1.1689996226599244e+00  3.9280428898349359e-02
1.5375000000000000e+01  4.0661414479986231e+00  -1.1353705543335662e+00  3.8936220982410036e-02
1.5500000000000000e+01  4.1093143069647944e+00  -1.1030246269432418e+00  3.8592453456719022e-02
1.5625000000000000e+01  4.1511773730318193e+00  -1.0719513264841183e+00  3.8250212585009262e-02
1.5875000000000002e+01  4.2310212794935911e+00  -1.0135775184133515e+00  3.7574397291621542e-02
1.6125000000000004e+01  4.3057738912259698e+00  -9.6015258266772285e-01  3.6916437009177565e-02
1.6375000000000000e+01  4.3755486811788140e+00  -9.1156726521298115e-01  3.6283181862734756e-02
